sys,pub
10,190
2,186
28,95
8,266
27,279
54,233
47,108
1,635
2,222
54,269
14,196
1,262
14,52
15,17
13,93
50,240
28,72
8,14
51,204
4,16
45,17
10,59
2,55
28,193
16,255
28,229
15,259
1,95
27,233
8,256
54,223
27,269
4,222
51,217
10,36
14,186
54,79
34,21
4,258
45,259
51,73
2,68
28,206
1,72
55,79
28,62
54,200
8,233
11,9
10,193
51,194
2,189
8,269
13,204
4,235
16,209
55,200
3,10
1,229
28,183
13,60
15,249
27,223
27,79
4,212
16,186
2,22
1,206
13,217
34,11
45,249
16,222
37,16
4,68
3,252
28,196
15,226
1,62
37,281
13,73
15,262
28,52
8,223
54,190
1,183
47,150
8,79
13,194
4,225
45,226
2,264
14,9
45,262
3,265
16,55
8,200
11,205
15,95
10,16
51,17
2,12
1,196
54,59
37,235
10,281
2,277
28,6
1,52
27,190
13,63
45,95
16,68
27,226
15,72
11,218
47,140
34,207
54,36
37,212
16,189
47,405
4,71
45,72
3,255
15,229
22,88
8,190
27,203
11,195
27,59
4,192
45,193
11,51
10,235
10,6
1,186
47,153
45,229
37,225
13,17
3,232
16,22
15,206
15,62
14,1000
11,208
27,36
47,130
8,59
27,72
45,206
51,249
4,25
3,209
14,218
15,183
13,259
4,61
45,62
16,264
16,35
55,255
28,9
27,193
11,185
37,94
47,107
8,36
45,183
10,225
2,221
3,186
14,195
34,210
3,222
16,12
15,196
15,52
47,120
54,16
45,196
11,54
37,192
2,234
51,10
54,281
14,208
1,9
13,249
45,52
47,650
10,94
3,55
2,211
14,185
13,226
51,252
47,627
37,25
10,71
15,186
2,67
1,251
28,205
13,262
3,68
27,16
11,8
10,192
2,188
47,339
8,268
54,235
27,281
47,110
11,273
45,186
1,637
3,189
1,228
4,270
28,218
1,264
14,54
13,95
54,212
8,16
11,250
11,21
10,205
8,281
4,247
16,221
10,61
55,212
28,195
3,22
13,72
55,68
28,51
27,235
1,1000
27,6
8,258
54,225
11,263
13,193
4,224
1,218
14,8
13,229
16,234
3,264
28,208
3,35
15,9
8,235
51,196
2,191
1,195
13,206
11,96
45,9
10,51
28,185
3,12
54,94
14,21
37,270
13,62
4,93
16,67
15,251
8,212
27,225
11,217
13,183
16,188
1,208
54,71
45,251
37,247
3,25
14,263
28,54
54,192
8,225
4,191
51,186
1,185
47,152
27,94
13,196
37,224
10,270
34,255
14,11
13,52
3,267
11,207
21,257
54,205
27,71
4,204
11,63
10,247
2,14
8,94
54,61
4,60
22,257
15,218
55,25
28,8
1,54
27,192
37,93
28,273
11,220
47,142
8,71
34,209
45,218
13,6
2,256
3,221
47,407
16,11
15,195
4,73
55,267
28,250
28,21
8,192
27,205
47,119
27,61
4,194
45,195
11,53
2,233
51,9
14,207
47,155
1,8
3,234
10,93
15,208
1,273
28,263
8,25
11,210
47,132
8,61
45,208
11,66
37,204
10,250
51,251
47,626
3,211
51,22
14,220
15,185
1,21
34,55
37,60
3,67
28,11
28,96
27,280
47,109
27,51
45,185
2,223
3,188
54,270
4,269
13,9
3,224
16,14
2,79
1,263
14,53
21,214
15,54
10,204
2,200
54,247
47,122
37,194
4,17
10,60
1,11
13,251
45,54
16,256
10,96
1,276
50,254
27,270
11,262
10,217
34,22
4,259
47,629
16,233
10,73
55,224
28,207
1,253
15,8
15,273
27,247
11,10
10,194
2,190
8,270
13,205
1,639
45,8
3,191
54,93
34,35
45,273
